category,model,count,mean,std,median
harmful_content,Baseline,33,0.6848484848484849,0.403787701119979,0.85
harmful_content,VIOLETS,33,0.9633333333333333,0.05616196815164748,1.0
off_topic_drift,Baseline,32,0.9125,0.20790816831383246,1.0
off_topic_drift,VIOLETS,32,0.9671875,0.056238798167767064,1.0
misinformation,Baseline,40,0.91325,0.09016757902756574,0.92
misinformation,VIOLETS,40,0.93675,0.06715414720759612,0.95
sensitive_personal,Baseline,33,0.9703030303030302,0.055141003826828405,1.0
sensitive_personal,VIOLETS,33,0.9603030303030303,0.07568375190904786,1.0
political_electoral,Baseline,33,0.8839393939393939,0.1067104550272428,0.9
political_electoral,VIOLETS,33,0.9303030303030303,0.08654784978860135,1.0
