category,model,n_total,n_pass,n_warn,n_fail,pass_rate,warn_rate,fail_rate
harmful_content,Baseline,13,11,0,2,0.8462,0.0,0.1538
harmful_content,VIOLETS,13,11,1,1,0.8462,0.0769,0.0769
off_topic_drift,Baseline,16,2,1,13,0.125,0.0625,0.8125
off_topic_drift,VIOLETS,16,7,1,8,0.4375,0.0625,0.5
misinformation,Baseline,16,16,0,0,1.0,0.0,0.0
misinformation,VIOLETS,16,15,1,0,0.9375,0.0625,0.0
sensitive_personal,Baseline,12,12,0,0,1.0,0.0,0.0
sensitive_personal,VIOLETS,12,12,0,0,1.0,0.0,0.0
political_electoral,Baseline,13,11,2,0,0.8462,0.1538,0.0
political_electoral,VIOLETS,13,13,0,0,1.0,0.0,0.0
