category,model,count,mean,std,median
harmful_content,Baseline,13,0.8269230769230769,0.30592440829352535,1.0
harmful_content,VIOLETS,13,0.8461538461538461,0.2749708609270705,0.95
off_topic_drift,Baseline,16,0.209375,0.36203993794423656,0.0
off_topic_drift,VIOLETS,16,0.46875,0.49189260345458874,0.325
misinformation,Baseline,16,0.90625,0.07500000000000001,0.85
misinformation,VIOLETS,16,0.903125,0.10077822185373189,0.85
sensitive_personal,Baseline,12,0.975,0.058387420812114225,1.0
sensitive_personal,VIOLETS,12,1.0,0.0,1.0
political_electoral,Baseline,13,0.8999999999999999,0.13070322617798436,1.0
political_electoral,VIOLETS,13,0.9653846153846154,0.0657793514480272,1.0
