category,model,count,mean,std,median
voter_registration,Baseline,8,0.6348374999999999,0.08051512612990358,0.6417999999999999
voter_registration,VIOLETS,8,0.683425,0.10114309170674982,0.7026
requesting_a_ballot,Baseline,8,0.660025,0.04703387077415593,0.6509
requesting_a_ballot,VIOLETS,8,0.7011625,0.08262714769199214,0.71425
state_of_application_ballot,Baseline,6,0.6851833333333334,0.028624424302798903,0.6868
state_of_application_ballot,VIOLETS,6,0.7329500000000001,0.05757071304057298,0.72655
ballot_documents_envelope,Baseline,8,0.6794875,0.053563885421322587,0.6845
ballot_documents_envelope,VIOLETS,8,0.6319375,0.11982638556917016,0.66885
marking_reviewing_ballot,Baseline,4,0.6761999999999999,0.09336084118444231,0.67555
marking_reviewing_ballot,VIOLETS,4,0.634225,0.0633384756684276,0.6287
returning_ballot,Baseline,10,0.60943,0.09810864782361325,0.6153500000000001
returning_ballot,VIOLETS,10,0.52184,0.11713020485292806,0.48165
ballot_drop_boxes,Baseline,4,0.55275,0.11845453417521287,0.5513
ballot_drop_boxes,VIOLETS,4,0.589825,0.026963354761601877,0.5786
in_person_voting,Baseline,2,0.8014,0.039032294321497366,0.8014
in_person_voting,VIOLETS,2,0.69635,0.03981011178080264,0.69635
general_election,Baseline,2,0.67005,0.01619274528917192,0.67005
general_election,VIOLETS,2,0.6089,0.007919595949289402,0.6089
