category,model,count,mean,std,median
voter_registration,Baseline,8,0.7389125,0.09724864211317885,0.7714
voter_registration,VIOLETS,8,0.65485,0.08600581375697805,0.6696
requesting_a_ballot,Baseline,8,0.77145,0.03574061315326626,0.77135
requesting_a_ballot,VIOLETS,8,0.6716625,0.08402754544110604,0.66625
state_of_application_ballot,Baseline,6,0.7239666666666666,0.07928398745438239,0.7576
state_of_application_ballot,VIOLETS,6,0.7160166666666666,0.05326782956594598,0.70635
ballot_documents_envelope,Baseline,8,0.6493625,0.05293070773595014,0.64975
ballot_documents_envelope,VIOLETS,8,0.6120875,0.10878650700864909,0.6462
marking_reviewing_ballot,Baseline,4,0.6605,0.052679344465675876,0.6584
marking_reviewing_ballot,VIOLETS,4,0.5918,0.12582792482857957,0.6254
returning_ballot,Baseline,10,0.6001000000000001,0.079055746856956,0.6214
returning_ballot,VIOLETS,10,0.51967,0.11157818434722004,0.5037499999999999
ballot_drop_boxes,Baseline,4,0.74425,0.13146245344837687,0.74595
ballot_drop_boxes,VIOLETS,4,0.605925,0.053149498272953316,0.5833999999999999
in_person_voting,Baseline,2,0.80975,0.056497831816805164,0.80975
in_person_voting,VIOLETS,2,0.70555,0.02128391411371509,0.70555
general_election,Baseline,2,0.545,0.029839906166072315,0.545
general_election,VIOLETS,2,0.48875,0.1540785676205487,0.48875
