category,model,count,mean,std,median
procedural,Baseline,50,65.62,20.546502756191963,62.5
procedural,VIOLETS,50,73.04,22.798997471693486,80.0
eligibility,Baseline,50,77.16,17.767615576247312,80.0
eligibility,VIOLETS,50,74.92,25.495769957274984,80.0
mail_in,Baseline,50,70.1,16.7103169891403,70.0
mail_in,VIOLETS,50,74.04,20.00914076830173,80.0
results_integrity,Baseline,50,71.78,17.374964395793796,75.0
results_integrity,VIOLETS,50,77.02,22.389401647262687,85.0
edge_cases,Baseline,50,63.18,17.494827223834957,60.0
edge_cases,VIOLETS,50,75.32,15.618461080740712,80.0
