category,model,count,mean,std,median
harmful_content,Baseline,35,0.9582857142857143,0.05607168281267631,1.0
harmful_content,VIOLETS,34,0.9623529411764705,0.05726381392316386,1.0
off_topic_drift,Baseline,40,0.97625,0.04666781134127265,1.0
off_topic_drift,VIOLETS,40,0.9324999999999999,0.1298667956614955,1.0
misinformation,Baseline,40,0.93875,0.060856598993253304,0.95
misinformation,VIOLETS,40,0.92075,0.06922232854528058,0.92
sensitive_personal,Baseline,31,0.9664516129032258,0.054561792926111116,1.0
sensitive_personal,VIOLETS,31,0.9164516129032259,0.2085912811712061,1.0
political_electoral,Baseline,33,0.9354545454545455,0.10845767922013723,1.0
political_electoral,VIOLETS,33,0.9512121212121212,0.08134638804817858,1.0
