category,model,count,mean,std,median
procedural,Baseline,24,70.79166666666667,20.2462646402752,80.0
procedural,VIOLETS,24,88.54166666666667,17.224803063597278,97.5
eligibility,Baseline,24,64.95833333333333,26.729692277977357,67.5
eligibility,VIOLETS,24,85.08333333333333,16.90617758630584,91.0
mail_in,Baseline,24,68.08333333333333,15.920773049470734,60.0
mail_in,VIOLETS,24,81.75,19.748968052291616,93.5
results_integrity,Baseline,24,79.45833333333333,12.631840950435587,82.5
results_integrity,VIOLETS,24,86.16666666666667,15.482575526298463,90.0
edge_cases,Baseline,24,75.66666666666667,18.686583577452073,85.0
edge_cases,VIOLETS,24,82.375,16.594426775276094,85.0
