stage,conversation_id,category,turn,url,accessibility,accuracy,note
no_citation,0af8fce2-0c2b-4ef2-a784-9ded1ec90483,eligibility,1,,,,No URL cited in this response.
no_citation,c0133dab-f016-42f0-9692-90a45bbd9162,edge_cases,0,,,,No URL cited in this response.
inaccessible,11f156d6-2fb0-45b4-8cee-09d78a35e1aa,mail_in,0,https://elections.maryland.gov/voting/documents/The_Life_of_a_Ballot_MD.pdf,0.0,0.0,"The PDF could not be retrieved due to an error (400/Internal Error), so its content could not be verified against the claim."
inaccessible,11f156d6-2fb0-45b4-8cee-09d78a35e1aa,mail_in,2,https://elections.maryland.gov/voting/documents/The_Life_of_a_Ballot_MD.pdf,0.0,0.0,"The Life of a Ballot PDF could not be loaded (HTTP 400); content could not be verified, so does not support the claim."
inaccessible,13920ca3-515d-4289-a7ca-1726302a2be6,mail_in,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0.0,0.0,Box link could not be accessed due to an internal/error-permission issue; content could not be verified to support the claim.
inaccessible,4a641696-9ad4-403c-a817-01cffd2c700f,eligibility,1,https://mcg.montgomerycountymd.gov/Elections/FrequentlyAskedQuestions/voter-registration-faqs.html,0.0,0.0,Blocked by robots.txt; content could not be accessed to verify claims.
inaccessible,519052e4-85fb-4c31-9988-704a4a363da0,results_integrity,3,https://elections.maryland.gov/press_room/documents/Post Election Tabulation Audit Pilot Program Report.pdf,0.0,0.0,URL contains spaces and is not a valid URL; content cannot be retrieved as written.
inaccessible,a3601d17-6148-4f38-bb7f-28f2686149ae,mail_in,0,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,0.0,0.0,Accessibility could not be verified due to robots.txt blocking; content could not be confirmed.
inaccessible,ac228493-116f-46e9-8d46-7f9f26454deb,results_integrity,0,https://elections.maryland.gov/press_room/documents/Wait,0.0,0.0,Malformed/truncated URL; cannot verify content or claim support from this link.
inaccessible,ac228493-116f-46e9-8d46-7f9f26454deb,results_integrity,1,https://elections.maryland.gov/voting/documents/Voting,0.0,0.0,The URL appears incomplete and did not resolve to content that could be evaluated against the claim.
inaccessible,b8cd3939-1e68-4567-9eef-2fbced1da049,eligibility,1,https://elections.maryland.gov/voting/documents/Maryland_Voting_Pocket_Guide-En.pdf,0.0,0.0,PDF could not be loaded (400/Internal Error) so content cannot be verified against the claimed statement.
inaccessible,c372b01c-b510-45ee-838c-c5c20d486c55,mail_in,0,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,0.0,0.0,"Direct load of the Montgomery County URL failed in the verification tool (unreachable at this time), so content cannot be verified against the claimed deadlines for this specific page."
inaccessible,c4c7b773-5ddb-4495-a5e6-7bed6820efca,results_integrity,0,https://elections.maryland.gov/press_room/documents/Post,0.0,0.0,Incomplete/invalid URL; does not resolve to a retrievable document.
inaccessible,c4c7b773-5ddb-4495-a5e6-7bed6820efca,results_integrity,2,https://elections.maryland.gov/press_room/documents/Post,0.0,0.0,URL resolves to a 404/not found; no content to support the claim.
inaccessible,cc5e4672-4ddc-4564-9027-3ff157b16040,eligibility,0,https://mcg.montgomerycountymd.gov/Elections/FrequentlyAskedQuestions/voter-registration-faqs.html,0.0,0.0,Montgomery County page could not be fetched due to access restrictions (robots/cache issue); content could not be verified to support the cited claim.
inaccessible,cc5e4672-4ddc-4564-9027-3ff157b16040,eligibility,3,https://mcg.montgomerycountymd.gov/Elections/FrequentlyAskedQuestions/voter-registration-faqs.html,0.0,60.0,"Structural URL appears valid, but access is blocked by robots.txt in this environment; search results indicate the page discusses same-day registration during Early Voting or Election Day, which would support the claim if verified."
inaccessible,dbf1b6b2-2704-40d2-946b-172f701eb1db,procedural,2,https://elections.maryland.gov/voting/documents/The_Life_of_a_Ballot_MD.pdf,0.0,0.0,URL structurally valid but could not be retrieved (400/internal error) in the check; content could not be verified to support the cited claim.
inaccessible,dbf1b6b2-2704-40d2-946b-172f701eb1db,procedural,2,https://elections.maryland.gov/voting/documents/Maryland_Voting_Pocket_Guide-En.pdf,0.0,0.0,URL could not be retrieved (400) during the check; content could exist but could not be verified to support the cited claim.
inaccurate,60902971-932b-406c-89ed-9c15c4592f06,results_integrity,0,https://elections.maryland.gov/voting/documents/Voting,50.0,0.0,The URL is structurally plausible but could not be loaded; content cannot be verified against the claimed source.
inaccurate,60902971-932b-406c-89ed-9c15c4592f06,results_integrity,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,50.0,0.0,Box link could not be accessed due to access restrictions; content cannot be verified against the claimed source.
inaccurate,a3601d17-6148-4f38-bb7f-28f2686149ae,mail_in,2,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2246330483012,50.0,0.0,"Box link content could not be retrieved in this session, so its relevance or accuracy to the stated claim cannot be verified."
inaccurate,a9b7fa42-8dbe-48ac-ba85-72d361e60560,procedural,2,https://elections.maryland.gov/press_room/documents/Schaefer,50.0,0.0,The URL appears truncated (no file extension) and could not be reliably accessed to verify content.
inaccurate,a9b7fa42-8dbe-48ac-ba85-72d361e60560,procedural,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,50.0,0.0,"Box link could not be retrieved in this session, so content cannot be verified or linked to the provisional-ballot claim."
inaccurate,ac228493-116f-46e9-8d46-7f9f26454deb,results_integrity,2,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,50.0,0.0,"Box link could not be retrieved in this session; content availability unknown, so it cannot be assessed for support."
inaccurate,ac228493-116f-46e9-8d46-7f9f26454deb,results_integrity,3,https://elections.maryland.gov/press_room/documents/Post,50.0,0.0, structurally valid but content could not be retrieved; no content to support the cited claims.
inaccurate,c0133dab-f016-42f0-9692-90a45bbd9162,edge_cases,1,https://elections.maryland.gov/voting/documents/The_Life_of_a_Ballot_MD.pdf,50.0,0.0," structurally valid URL, but the PDF could not be retrieved (HTTP 400), so accessibility could not be verified and content alignment with the claim could not be confirmed."
inaccurate,c372b01c-b510-45ee-838c-c5c20d486c55,mail_in,1,https://elections.maryland.gov/voting/documents/The_Life_of_a_Ballot_MD.pdf,50.0,0.0,"PDF URL is structurally valid, but content retrieval failed in this session, so accessibility and accuracy cannot be confirmed."
inaccurate,dbf1b6b2-2704-40d2-946b-172f701eb1db,procedural,3,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,50.0,0.0,"Exact URL could not be loaded; Montgomery County page exists with related guidance, but content for this specific URL could not be verified."
inaccurate,f814f92a-11c0-4808-b623-0ce7099226b0,mail_in,0,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,100.0,0.0,"Accessible; page documents cancellation of mail-in ballots and voting in person, but also states that if you do not cancel you must vote a provisional ballot, which contradicts the chatbot's 'no provisional' assertion."
