conversation_id,category,turn,veracity_score,error_type,input,output,reasoning
0ddee3d7-5df8-4ac5-84df-ddfae8476c46,edge_cases,1,60,date/location error,Are there any alternatives to show my identity if I don't have my ID with me?,"Yes. Alternatives you can use at the polling place include any of the following to prove identity:

- Voter registration card; Social Security card; valid Maryland driver’s license or MVA ID; any photo ID from federal, State, or local government; any employee photo ID; or a current bill, bank statement, government check, paycheck, or other document showing your name and current address. Digital formats are acceptable. [Challenger and Watchers Manual](https://elections.maryland.gov/pdf/Challenger_and_Watchers_Manual.pdf)

If you don’t have any of these with you, you can still vote a provisional ballot. To count it, you must later provide acceptable ID or have your identity verified by the local board of elections by 10:00 a.m. on the 2nd Wednesday after Election Day. Acceptable IDs for provisional ballot include the same list above or a current document showing name and address dated within the last 3 months. [Source 5; Source 3]","The answer correctly states the provisional ballot deadline and that ID may be required, but it incorrectly lists Social Security card and voter registration card as acceptable forms of ID, which Maryland’s official guidance does not; the official list includes MD driver's license/MVA ID, student/employee/military ID, U.S. passport, or documents showing name and address dated within 3 months, and it does not clearly confirm digital formats."
11f156d6-2fb0-45b4-8cee-09d78a35e1aa,mail_in,1,60,date/location error,Are there drop-off locations where I can hand it in?,You can find your polling place using the official Maryland Polling Place Search tool here: https://voterservices.elections.maryland.gov/PollingPlaceSearch,"The AI's reply only pointed to a polling place search tool and did not address ballot drop-off locations; verified sources from elections.maryland.gov and montgomerycountymd.gov show official ballot drop boxes (58 in Montgomery County for the 2026 Gubernatorial Primary) with deadlines, which the answer did not mention."
13920ca3-515d-4289-a7ca-1726302a2be6,mail_in,0,60,date/location error,"Hey, I'm wondering how I can check the status of my mail-in ballot. Any tips?","- Use the Maryland voter look-up website to verify whether your local board of elections received your mail-in ballot request and the current status of your ballot. [Mail-in Voting](https://elections.maryland.gov/voting/absentee.html)

- Ballots are typically mailed or available for download about 3 weeks before an election, and requests may take about a week to process. [Mail-in Voting](https://elections.maryland.gov/voting/absentee.html), [Mail-in Voting](https://elections.maryland.gov/voting/absentee.html)

- If the look-up shows your ballot has been sent but you haven’t received it, wait a few days (it may be in transit). If you’re within a week of the election and still haven’t received it, contact your local board of elections for help. [Mail-in Voting](https://elections.maryland.gov/voting/absentee.html)","The assistant correctly advises using the voter lookup to check the status of a mail-in ballot, but incorrectly states that ballots are typically mailed or downloadable about 3 weeks before an election; Maryland guidance notes processing of mail-in ballot requests takes about a week."
13920ca3-515d-4289-a7ca-1726302a2be6,mail_in,1,60,date/location error,"Is there an online tool for checking the status, and what information do I need to provide?",You can look up your voter registration information using the official Maryland Voter Search tool here: https://voterservices.elections.maryland.gov/VoterSearch,"Partially accurate: it correctly names the Maryland Voter Search as the online status tool, but omits the required fields (first name, last name, date of birth, and ZIP/address) and the steps to view your status."
13920ca3-515d-4289-a7ca-1726302a2be6,mail_in,2,60,other,How soon can I check the status after I send in my mail-in ballot request?,"- Check the Maryland voter look-up website to see if your mail-in-ballot request has been received and the current status of your ballot. [Mail-in Voting](https://elections.maryland.gov/voting/absentee.html)

- After you submit your request, processing typically takes about a week before the status is updated. Ballots are usually issued about 3 weeks before an election. [Mail-in Voting](https://elections.maryland.gov/voting/absentee.html)

- If the look-up shows your ballot has been sent but you haven’t received it, wait a few days; if it’s within a week of the election, contact your local board of elections. [Mail-in Voting](https://elections.maryland.gov/voting/absentee.html)","The response correctly directs users to the voter lookup for status, but misstates timing: MD sources indicate status may take up to 3 weeks to appear (not 'about a week'), and ballots are typically mailed 30–45 days before the election (not 'about 3 weeks'), making the overall claim mixed in accuracy."
13920ca3-515d-4289-a7ca-1726302a2be6,mail_in,3,60,date/location error,What happens if I miss the deadline to request my mail-in ballot?,"If you miss the mail-in ballot request deadline, you won’t be able to receive a mail-in ballot for that election. You’ll need to vote in person (early voting or on Election Day) [Mail-in Voting](https://elections.maryland.gov/voting/absentee.html).

If you already requested a mail-in ballot and then vote in person, you must cast a provisional ballot at the polls [MoCo Voter Guide for the 2026 Primary Election 02062026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632).

Deadlines vary by election (primary vs general) and by county, so check your local board of elections for the exact dates. For 2026: General Election request deadlines are by Oct 27 (by mail/fax) or Oct 30 (electronic); Primary deadlines are by Jun 16 (mail/fax) or Jun 19 (electronic) [Mail-in Voting](https://elections.maryland.gov/voting/absentee.html).","While the dates for primary and general mail-in ballot requests are correct, the statement that you must cast a provisional ballot after voting in person while having requested a mail-in ballot is inaccurate; the official guidance says you will be offered a provisional ballot and you may cancel the mail-in request."
31ae783b-79bb-43ec-8c5e-19c85fe57031,eligibility,0,60,other,"Hey, I’m curious — how does having a felony conviction impact my ability to vote in Maryland?","- Felony convictions count for voting eligibility. Convictions include federal, state, and out-of-state offenses. [Introduction](https://elections.maryland.gov/voter_registration/index.html)

- If you have been convicted of buying or selling votes, that is a permanent disqualification from registering to vote and voting in Maryland. [Voter Registration List Maintenance](https://elections.maryland.gov/voter_registration/list_maintenance.html)

- For other felony convictions, you may register to vote once you have completed the court-ordered sentence of imprisonment. If you are currently incarcerated, you must wait until that sentence is complete to re-register. [Introduction](https://elections.maryland.gov/voter_registration/index.html) [VR List Maintenance](https://elections.maryland.gov/voter_registration/documents/VR_List_Maintenance.pdf)","Two points align with Maryland’s official guidance (felons may register after completing their sentence; convictions include federal/state/out-of-state), but the claim that buying or selling votes causes a permanent disqualification is not supported by official sources, which state only that you are not eligible to vote if you have bought or sold votes."
31ae783b-79bb-43ec-8c5e-19c85fe57031,eligibility,1,60,date/location error,Do I need to complete my sentence or probation first before I can register to vote?,"- You may register to vote after you have completed the court-ordered period of imprisonment. [VR List Maintenance](https://elections.maryland.gov/voter_registration/documents/VR_List_Maintenance.pdf)[Voter Registration List Maintenance](https://elections.maryland.gov/voter_registration/list_maintenance.html)
- If you are currently incarcerated, you must wait until your sentence is complete to re-register. [VR List Maintenance](https://elections.maryland.gov/voter_registration/documents/VR_List_Maintenance.pdf)[Voter Registration List Maintenance](https://elections.maryland.gov/voter_registration/list_maintenance.html)
- If you have been convicted of buying or selling votes, you are permanently disqualified from registering and voting in Maryland. [VR List Maintenance](https://elections.maryland.gov/voter_registration/documents/VR_List_Maintenance.pdf)[Voter Registration List Maintenance](https://elections.maryland.gov/voter_registration/list_maintenance.html)

Note: The guidance focuses on imprisonment; probation isn’t explicitly addressed in these materials. For your specific situation, contact the Maryland State Board of Elections. [VR List Maintenance](https://elections.maryland.gov/voter_registration/documents/VR_List_Maintenance.pdf)","Two points align with Maryland law (felony voting rights are restored after completing the court-ordered sentence, including any term of parole or probation, and incarcerated individuals must wait until release to register to vote), but the claim that buying or selling votes yields permanent disqualification is incorrect; restoration or pardon can apply."
31ae783b-79bb-43ec-8c5e-19c85fe57031,eligibility,2,60,date/location error,What if I was convicted in another state? Do I still have the same voting rights in Maryland?,"Yes. Maryland treats out-of-state convictions the same as other felonies for voting eligibility.

- You may register to vote once you have completed the court-ordered sentence of imprisonment. If you are currently incarcerated, you must wait until the sentence is complete to re-register. [Introduction](https://elections.maryland.gov/voter_registration/index.html), [Voter Registration List Maintenance](https://elections.maryland.gov/voter_registration/list_maintenance.html)
- If you have been convicted of buying or selling votes, you are permanently disqualified from registering and voting in Maryland. [Introduction](https://elections.maryland.gov/voter_registration/index.html), [Voter Registration List Maintenance](https://elections.maryland.gov/voter_registration/list_maintenance.html)
- General basics: you must be a U.S. citizen and a Maryland resident (and at least 16 to register, 18 to vote). [Introduction](https://elections.maryland.gov/voter_registration/index.html)","The assistant correctly states that out-of-state felony convictions are included in Maryland's eligibility rules, but incorrectly asserts a permanent disqualification for buying or selling votes; official Maryland sources say you are not eligible to vote for such convictions without specifying a lifetime ban."
31ae783b-79bb-43ec-8c5e-19c85fe57031,eligibility,3,40,date/location error,Is there a specific process I need to follow to restore my voting rights after completing my sentence?,"There isn’t a separate “restoration” process. Once you’ve completed the court-ordered sentence of imprisonment, you’re eligible to register to vote in Maryland. If you’re still incarcerated, you must wait until your sentence is finished to re-register. If you’ve bought or sold votes, you’re permanently disqualified from registering and voting. To register, you can use Maryland’s Online Voter Registration System (OLVR) or register in person at a local board of elections, the State Board of Elections, or other listed offices. You can also register during early voting or on election day. Note you should register at least 21 days before the election to be eligible for that election. [Introduction](https://elections.maryland.gov/voter_registration/index.html) [VR List Maintenance](https://elections.maryland.gov/voter_registration/documents/VR_List_Maintenance.pdf) [VRA-English](https://elections.maryland.gov/voter_registration/documents/VRA-English.pdf) [Source for deadline]","The assistant claims there is no restoration process, but Maryland requires re-registration after voting rights are restored (AG Instructions 2010), it states a permanent disqualification for buying/selling votes which the cited sources do not support as a blanket rule, and it gives a blanket 21-day deadline despite Maryland allowing same-day registration during early voting or Election Day; overall, multiple factual inaccuracies are present."
