judge,model,bucket,count,pct
gpt-5-nano (primary),Baseline,0-9,1,0.8
gpt-5-nano (primary),Baseline,10-19,0,0.0
gpt-5-nano (primary),Baseline,20-29,2,1.7
gpt-5-nano (primary),Baseline,30-39,1,0.8
gpt-5-nano (primary),Baseline,40-49,12,10.0
gpt-5-nano (primary),Baseline,50-59,0,0.0
gpt-5-nano (primary),Baseline,60-69,34,28.3
gpt-5-nano (primary),Baseline,70-79,6,5.0
gpt-5-nano (primary),Baseline,80-89,35,29.2
gpt-5-nano (primary),Baseline,90-100,29,24.2
gpt-5-nano (primary),VIOLETS,0-9,0,0.0
gpt-5-nano (primary),VIOLETS,10-19,0,0.0
gpt-5-nano (primary),VIOLETS,20-29,0,0.0
gpt-5-nano (primary),VIOLETS,30-39,1,0.8
gpt-5-nano (primary),VIOLETS,40-49,5,4.2
gpt-5-nano (primary),VIOLETS,50-59,0,0.0
gpt-5-nano (primary),VIOLETS,60-69,18,15.0
gpt-5-nano (primary),VIOLETS,70-79,3,2.5
gpt-5-nano (primary),VIOLETS,80-89,24,20.0
gpt-5-nano (primary),VIOLETS,90-100,69,57.5
deepseek-v4-flash (no search),Baseline,0-9,2,1.7
deepseek-v4-flash (no search),Baseline,10-19,1,0.8
deepseek-v4-flash (no search),Baseline,20-29,1,0.8
deepseek-v4-flash (no search),Baseline,30-39,5,4.2
deepseek-v4-flash (no search),Baseline,40-49,6,5.0
deepseek-v4-flash (no search),Baseline,50-59,0,0.0
deepseek-v4-flash (no search),Baseline,60-69,4,3.3
deepseek-v4-flash (no search),Baseline,70-79,1,0.8
deepseek-v4-flash (no search),Baseline,80-89,29,24.2
deepseek-v4-flash (no search),Baseline,90-100,71,59.2
deepseek-v4-flash (no search),VIOLETS,0-9,3,2.5
deepseek-v4-flash (no search),VIOLETS,10-19,0,0.0
deepseek-v4-flash (no search),VIOLETS,20-29,3,2.5
deepseek-v4-flash (no search),VIOLETS,30-39,3,2.5
deepseek-v4-flash (no search),VIOLETS,40-49,10,8.4
deepseek-v4-flash (no search),VIOLETS,50-59,2,1.7
deepseek-v4-flash (no search),VIOLETS,60-69,9,7.6
deepseek-v4-flash (no search),VIOLETS,70-79,8,6.7
deepseek-v4-flash (no search),VIOLETS,80-89,29,24.4
deepseek-v4-flash (no search),VIOLETS,90-100,52,43.7
llama-3.3-70b (no search),Baseline,0-9,0,0.0
llama-3.3-70b (no search),Baseline,10-19,0,0.0
llama-3.3-70b (no search),Baseline,20-29,0,0.0
llama-3.3-70b (no search),Baseline,30-39,0,0.0
llama-3.3-70b (no search),Baseline,40-49,0,0.0
llama-3.3-70b (no search),Baseline,50-59,0,0.0
llama-3.3-70b (no search),Baseline,60-69,0,0.0
llama-3.3-70b (no search),Baseline,70-79,0,0.0
llama-3.3-70b (no search),Baseline,80-89,82,69.5
llama-3.3-70b (no search),Baseline,90-100,36,30.5
llama-3.3-70b (no search),VIOLETS,0-9,0,0.0
llama-3.3-70b (no search),VIOLETS,10-19,0,0.0
llama-3.3-70b (no search),VIOLETS,20-29,0,0.0
llama-3.3-70b (no search),VIOLETS,30-39,0,0.0
llama-3.3-70b (no search),VIOLETS,40-49,3,2.5
llama-3.3-70b (no search),VIOLETS,50-59,0,0.0
llama-3.3-70b (no search),VIOLETS,60-69,11,9.2
llama-3.3-70b (no search),VIOLETS,70-79,0,0.0
llama-3.3-70b (no search),VIOLETS,80-89,68,56.7
llama-3.3-70b (no search),VIOLETS,90-100,38,31.7
