category,model,count,mean,std,median
voter_registration,Baseline,8,0.5423625,0.07501001718818244,0.56115
voter_registration,VIOLETS,8,0.64895,0.09928885709311566,0.6879
requesting_a_ballot,Baseline,8,0.604875,0.046830476950684284,0.5944
requesting_a_ballot,VIOLETS,8,0.7008125000000001,0.08552250226026563,0.6980999999999999
state_of_application_ballot,Baseline,6,0.6660833333333334,0.03550607929167435,0.6618999999999999
state_of_application_ballot,VIOLETS,6,0.7374333333333333,0.059918066279434225,0.71465
ballot_documents_envelope,Baseline,8,0.647325,0.038071952556029624,0.6597500000000001
ballot_documents_envelope,VIOLETS,8,0.660125,0.03721826548503142,0.65655
marking_reviewing_ballot,Baseline,4,0.656975,0.04056257511549289,0.65665
marking_reviewing_ballot,VIOLETS,4,0.66725,0.05993243417938792,0.68235
returning_ballot,Baseline,10,0.54443,0.09069185985767655,0.5364
returning_ballot,VIOLETS,10,0.51796,0.10320983157303058,0.49095
ballot_drop_boxes,Baseline,4,0.45695,0.20306873220661026,0.47050000000000003
ballot_drop_boxes,VIOLETS,4,0.562275,0.05602924087771788,0.5726
in_person_voting,Baseline,2,0.79705,0.003181980515339545,0.79705
in_person_voting,VIOLETS,2,0.73995,0.03655742058734456,0.73995
general_election,Baseline,2,0.5951500000000001,0.03811305550595483,0.5951500000000001
general_election,VIOLETS,2,0.62625,0.07969093423972393,0.62625
