conversation_id,category,turn,veracity_score,error_type,input,output,reasoning
00f90b69-85df-4e41-8148-0f707c0cbe30,edge_cases,2,40,date/location error,Is there any other way to verify my identity if I can't find an acceptable ID at home?,"Short answer: there isn’t another verification method at the polls besides the listed IDs. You can still vote provisionally, but you’ll need to provide acceptable ID (or proof of residence) to the local board of elections by the deadline for the provisional ballot to count.

Options:
- If you don’t have an acceptable ID now, vote provisionally and later provide one of the allowed documents to your local board before 10 am on the 2nd Wednesday after election day (or provide proof of residence if needed) [Source: Provisional Voting] [Source: Provisional Voting].
- Acceptable options include: Maryland driver’s license or MVA ID, student/employee/military ID, U.S. passport, or a current utility bill, bank statement, government check, paycheck, etc., showing your name and current address (dated within 3 months) [Source: Provisional Voting] [Source: Provisional Voting].
- If you cannot provide ID by the deadline, the provisional ballot may not count; contact your local board for guidance if needed [Source: Provisional Voting].

If you’d like, share your county and I can fetch the local board contact info.","The assistant incorrectly claimed there are no verification methods beyond listed IDs; Maryland allows provisional voting with post-election verification by the local board (deadline 10 am on the 2nd Wednesday after election day), so this key claim is inaccurate, though other details like the forms of acceptable ID and the provisional deadline are correct."
00f90b69-85df-4e41-8148-0f707c0cbe30,edge_cases,3,60,date/location error,"Okay, so just to clarify, if I vote provisionally and don’t manage to provide ID by that deadline, my vote won’t count at all?","Yes. A provisional ballot will count only if you provide acceptable ID (or proof of residence) to your local board before 10 am on the 2nd Wednesday after election day. If you don’t meet that deadline, the provisional ballot may not be counted. You can check whether it was counted about 10 days after the election. [Source: Provisional Voting] [Source: Provisional Voting]"," Maryland's Provisional Voting page indicates provisional ballots are counted if the voter is registered and eligible, with count-status available 10 days after the election; however, the 10 am on the 2nd Wednesday after election day deadline described by the assistant pertains to proving residence for registration/address changes, not a requirement for provisional ballot counting."
01a391f4-d523-471b-be07-8f51d167d137,mail_in,2,60,date/location error,What if I’m out of state during the application process? Will I still be able to get my ballot in time?,"Yes. If you’re out of state, you can vote by mail.

- How to get a ballot: You must have requested a mail-in ballot. You can either join the Permanent Mail-in Ballot List or submit a mail-in ballot application; ballots can be mailed to you or printed from the State Board of Elections site. [Mail-in Voting](https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html), [Accessible Voting](https://elections.maryland.gov/voting/accessibility.html), [Mail In Ballot Application English](https://elections.maryland.gov/voting/documents/Mail_In_Ballot_Application-English.pdf)

- Return options and rules: Do not email or fax your ballot. Return by mail, to a ballot drop box, or in person to your local election office. [Accessible Voting](https://elections.maryland.gov/voting/accessibility.html)

- Deadlines: For the 2026 Gubernatorial Primary, mail ballots must be mailed or deposited in a drop box by 8 PM on Election Day (and ballots mailed must be postmarked by Election Day). Plan ahead to meet these deadlines. [Mail-in Voting](https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html)

If you need accessibility help, there are options available at voting locations. [Accessible Voting](https://elections.maryland.gov/voting/accessibility.html)","Mostly accurate: the response correctly notes out-of-state mail voting, the Permanent Mail-in Ballot List, return options, and the 8 PM Election Day deadline with postmark rules, but it overstates that ballots can be printed from the State Board of Elections site; official sources indicate ballots are mailed to voters (printing your own ballot is not described)."
13ed52fc-6725-4f8c-88dc-76eed3af4b46,edge_cases,2,60,date/location error,What if my name doesn't match the ID I bring when I update my registration?,You can update your voter registration information online here: https://voterservices.elections.maryland.gov/OnlineVoterUpdate/InstructionsStep1,"The assistant correctly states that online voter registration updates are available, but the URL given is incorrect; the actual path is /OnlineVoterRegistration/InstructionsStep1 (not /OnlineVoterUpdate/InstructionsStep1), and updating requires identity verification per the official pages."
13ed52fc-6725-4f8c-88dc-76eed3af4b46,edge_cases,3,40,date/location error,What if I miss the deadline to update my registration with my new name?,You can update your voter registration information online here: https://voterservices.elections.maryland.gov/OnlineVoterUpdate/InstructionsStep1," Maryland's Online Voter Update page for the 2026 Gubernatorial General Election states online updates are closed and updates can be done in person on Election Day at a voting center (or for address changes), but the assistant only provided the online link and did not address the deadline or in-person options, making the claim partially incorrect."
15e82aaf-7729-443f-b011-70ce27dd4884,results_integrity,2,60,other,What kind of technology is used during the counting process to ensure accuracy?," Maryland’s counting tech involves a mix of ballot marking, scanning, and ballot imaging, with ongoing audits to verify results. Key points:

- Ballot marking devices (ExpressVote) print ballots that voters mark; these ballots are then counted, often via scanning that records votes in barcodes for tabulation. This barcode approach is fast but not verifiable by voters. [SEB.comments.certification of 6.5.0.0](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2207610983005)

- There are barcode-free options too; vendor ES&S offers devices designed to provide accessible marking without recording votes in barcodes. [SEB.comments.certification of 6.5.0.0](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2207610983005)

- In Montgomery County (and statewide practice), results are based on paper ballots that are printed at the polling place and then digitally scanned, with a copy of each ballot image stored on removable media. Those paper ballots can be used for audits or recounts, providing a basis to verify the machine tallies. [MoCo Voter Guide for the 2026 Primary Election 02062026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632)

- After elections, Maryland conducts post-election audits (the exact method and thresholds are set by the State Board of Elections and can include risk-limiting audits or other verifications). [SEB.comments.certification of 6.5.0.0](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2207610983005)

If you’d like, I can pull the official MSBE guidance for current audit procedures and the exact technologies used in your area.","The answer correctly references ballot marking devices, scanning, paper ballots, and post-election risk-limiting audits per Maryland sources, but it makes unverified claims about barcode-based tallying and ES&S barcode-free devices that are not supported by the cited Maryland/Montgomery sources."
195c48db-8f76-477b-9f9f-cced7641630e,procedural,2,60,date/location error,What documents do I need to bring to prove my residence for same-day registration?,"For same-day registration, bring one document that proves your Maryland residence and shows your name and current address. Acceptable examples commonly include:
- A current utility bill (gas/electric/water)
- A bank or credit union statement
- A paycheck or pay stub
- A government document showing your name and Maryland address
- A lease or mortgage statement

If you don’t have a single document with your address, check the official Maryland Elections guidelines for exact requirements.","Sources confirm you can prove residency for same-day registration with documents like MVA ID/change of address, paycheck, bank statement, or utility bill dated within 3 months of Election Day; the answer incorrectly adds 'lease or mortgage statement' and omits the 3-month requirement, making it partially accurate."
195c48db-8f76-477b-9f9f-cced7641630e,procedural,3,60,date/location error,What if I don’t have any of those documents with my name and address? Can I still register?,"No. Same-day registration requires at least one document that proves your Maryland residence with your name and current address. If you don’t have any such document, you can’t complete SDR that day. [Introduction](https://elections.maryland.gov/voter_registration/index.html)

What you can do instead:
- Register in advance online (OLVR) or by mail/in person at your local board. Online registration requires a Maryland driver’s license or MVA ID number, or the last four digits of your SSN; your registration can be processed without SDR if you provide those identifiers. [Introduction](https://elections.maryland.gov/voter_registration/index.html)
- If you already registered, you can update your address on Early Voting or Election Day at your polling place. [2026 Gubernatorial Election](https://elections.maryland.gov/elections/2026/index.html)

If you need help locating acceptable documents or registering beforehand, contact your local board of elections.","The assistant incorrectly stated 'No' to same-day registration; Maryland allows in-person same-day registration with documentation proving residence, while online/advancement options are correctly described."
22b8f395-0a11-47f9-9fd6-90440246cb66,eligibility,2,40,date/location error,"If I register in Maryland first, how will that affect my registration in the other state? Do they automatically cancel it?","Not automatically. The Maryland materials explain how to register in Maryland and who is eligible, but they don’t state that an out-of-state registration is canceled automatically when you register here. To be sure, contact both states’ election offices to confirm and resolve any dual registration.

What you can do:
- If you’re registering in Maryland, make sure you meet Maryland eligibility (U.S. citizen, Maryland resident, at least 16 (18 to vote) [Source: Spanish Internet VRA]) [Spanish Internet VRA](https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf).
- You can update or verify your voter information with your Maryland county election office anytime [Spanish Internet VRA](https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf).
- Check with your previous state’s election office as well to ensure your out-of-state registration is handled properly.","Maryland's Voter Registration List Maintenance page states that Maryland registrations can be automatically canceled when an individual registers to vote in another state or provides an out-of-state address, so the assistant's claim that cancellation is not automatic is incorrect."
22b8f395-0a11-47f9-9fd6-90440246cb66,eligibility,3,40,other,"Got it! So, just to confirm, if I register in Maryland but forget to cancel my registration in the other state, will that cause any issues when I go to vote?","Not automatically. If you register in Maryland, your out-of-state registration usually stays active unless you take action to cancel it.

What to do to avoid issues:
- Contact the other state’s election office and cancel your registration there if you’ve moved to Maryland.
- Verify your Maryland registration is active and up to date (and vote using your Maryland address).
- Do not vote in the other state while your Maryland registration is active.

If you’re unsure, call or check with both states’ election offices for confirmation.","The response claims out-of-state registration is not automatic while Maryland’s list maintenance indicates automatic cancellation can occur when the voter is registered in another state, and Montgomery County guidance instructs moving out of state requires re-registering in the new state and canceling Maryland registration."
