conversation_id,category,turn,url,accessibility,accuracy,note
01a391f4-d523-471b-be07-8f51d167d137,mail_in,0,https://elections.maryland.gov/voting/documents/The_Life_of_a_Ballot_MD.pdf,0,0,PDF URL responded with a 400 error; content could not be retrieved to verify if it supports the cited claim.
01a391f4-d523-471b-be07-8f51d167d137,mail_in,0,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,0,0,Domain could not be accessed (blocked by robots.txt); content could not be verified for alignment with the cited claim.
15e82aaf-7729-443f-b011-70ce27dd4884,results_integrity,3,https://elections.maryland.gov/press_room/documents/Post,0,0,The URL is syntactically valid but could not be loaded by the browsing tool; it appears incomplete/truncated and does not load content to support the claim.
195c48db-8f76-477b-9f9f-cced7641630e,procedural,0,https://elections.maryland.gov/voting/documents/Maryland_Voting_Pocket_Guide-En.pdf,0,0,"PDF could not be retrieved in this session (HTTP 400), so accessibility and direct content accuracy could not be verified."
2e9b3a65-f97d-4690-b6ea-13b061a022cf,mail_in,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0,0,URL is hosted on box.com and not within the allowed domains; content could not be evaluated per policy.
2e9b3a65-f97d-4690-b6ea-13b061a022cf,mail_in,2,https://elections.maryland.gov/voting/documents/The_Life_of_a_Ballot_MD.pdf,0,0,"PDF could not be retrieved (400 error) from the host, so accessibility and direct content accuracy could not be verified."
3ffd6ba1-db14-4ec2-9f05-de7ecf70a926,results_integrity,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,50,0,Box link is not on the allowed domains and content could not be verified from accessible sources; accessibility is uncertain and it does not support the claim.
40eff86a-ec8b-45d7-a201-68eebf3fa848,mail_in,0,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,0,0,"The URL exists in the response but could not be fetched due to robots.txt restrictions, so reachability and direct content verification could not be performed."
40eff86a-ec8b-45d7-a201-68eebf3fa848,mail_in,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2302869799000,50,0,URL is not on the allowed domains and content could not be verified for accuracy.
4f0593e6-068a-4b4e-9862-702c757acaf3,mail_in,2,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,0,0,URL is structurally valid but the page could not be loaded due to access restrictions; unable to verify that it supports the cited claim.
4f0593e6-068a-4b4e-9862-702c757acaf3,mail_in,2,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0,0,Box.com link is not on an allowed Maryland election domain; content could not be verified against the cited claim.
52fd25ba-6c70-4439-ad6f-c75bb733b7b8,results_integrity,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0,0,Box.com domain is not within the allowed verification domains; content cannot be verified here.
52fd25ba-6c70-4439-ad6f-c75bb733b7b8,results_integrity,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2207610983005,0,0,Box.com domain is not within the allowed verification domains; content cannot be verified here.
52fd25ba-6c70-4439-ad6f-c75bb733b7b8,results_integrity,1,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2205479080586,50,0,"The URL is structurally valid but is not on the allowed Maryland election domains, so content cannot be verified here; related Maryland election content on elections.maryland.gov describes BMD paper ballots and verifiable ballots."
536ffeb3-6229-4e4c-8793-48687c166769,results_integrity,1,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2246330483012,0,0,"The URL is not under elections.maryland.gov or montgomerycountymd.gov domains, so content could not be verified against the specified authoritative sources."
6e1fd235-09d3-4d20-a6ae-10761be355da,results_integrity,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2108426461397,0,0,Box.com domain is outside the allowed domains; content cannot be evaluated under the given policy.
6e1fd235-09d3-4d20-a6ae-10761be355da,results_integrity,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2246330483012,0,0,Box.com domain is outside the allowed domains; content cannot be evaluated under the given policy.
74f90a68-b777-431b-9349-00b145f02a1e,edge_cases,3,https://elections.maryland.gov/voting_system/documents/ExpressVote,50,0,"The URL path is structurally valid but could not be verified as reachable in this session; the authoritative ExpressVote Final Usability Report exists at ExpressVote%20-%20Final%20Usability%20Report.pdf, and that PDF does not address provisional-ballot procedures, so it does not support the cited claims."
9541f30f-1b14-453a-9592-289c050f17c2,eligibility,1,https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf,100,0,The PDF is a Maryland voter registration form in Spanish and shows that a Maryland driver's license or MVA ID is required; it does not support the claim that a student ID is an acceptable form of ID for voting.
9ac2373c-681c-4d8d-aa46-cf9caff069f2,mail_in,3,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,0,0,"The exact MCg subdomain URL could not be loaded; related Montgomery County content on the main site (montgomerycountymd.gov/Elections/vote-by-mail.html) does discuss voting by mail and provisional ballots, but verification for the exact provided URL could not be completed."
aa230ae4-5158-45af-a02f-d4a3e80f6afc,procedural,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2175606069496,50,0,Box.com URL; content could not be verified via the allowed-domain searches.
aa230ae4-5158-45af-a02f-d4a3e80f6afc,procedural,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2246330483012,50,0,Box.com URL; content could not be verified via the allowed-domain searches.
aa230ae4-5158-45af-a02f-d4a3e80f6afc,procedural,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2137782796757,50,0,Box.com URL; content could not be verified via the allowed-domain searches.
b5d88488-11b6-4f8e-8d57-d6620d92220c,results_integrity,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2302864631488,50,0,Box domain not on the allowed list; content could not be verified under the given domain restrictions.
b5d88488-11b6-4f8e-8d57-d6620d92220c,results_integrity,1,https://elections.maryland.gov/voting/documents/Voting,50,0,"URL as written does not load in test; the document cited by the chatbot is actually at a different path (Voting%20System%20Security%20Talking%20Points.pdf) and supports the audits claim, but this exact URL did not resolve."
d6a1522d-5eb5-4527-93a3-8f6b29e1c324,results_integrity,2,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0,0,URL is not within the allowed verification domains (elections.maryland.gov or montgomerycountymd.gov/elections); cannot verify accessibility or accuracy per instruction.
dd67931f-a6a7-4849-8c32-2bca113c233c,mail_in,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2175606069496,0,0,Domain not in the allowed list; content cannot be verified per domain restrictions.
e67a2c78-ecf4-435f-aa49-cc8986886d67,mail_in,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0,0,Box.com link is not within the approved domains; content could not be verified under the given domain constraints.
