category,model,count,mean,std,median
procedural,Baseline,20,73.6,23.67854903093782,80.0
procedural,VIOLETS,20,77.85,19.969120898869942,80.0
eligibility,Baseline,40,73.85,18.1906569425076,80.0
eligibility,VIOLETS,40,75.225,25.993576622716347,85.0
mail_in,Baseline,40,69.9,15.83699013102731,70.0
mail_in,VIOLETS,40,83.825,17.820885902753947,90.0
results_integrity,Baseline,40,71.6,15.824032355881984,75.0
results_integrity,VIOLETS,40,78.075,20.92647384755271,85.0
edge_cases,Baseline,20,70.6,15.852610610176948,75.0
edge_cases,VIOLETS,20,82.3,18.954516195633335,91.0
