conversation_id,category,turn,veracity_score,error_type,input,output,reasoning
0819b462-be96-4709-8994-5306ca1877f5,edge_cases,0,65.0,date/location error,"Hey, I was wondering what I should do if my voter registration gets canceled but I still want to vote. What are my options?",You can look up your voter registration information using the official Maryland Voter Search tool here: https://voterservices.elections.maryland.gov/VoterSearch,"The assistant correctly suggests using the Maryland Voter Search to check registration status (per elections.maryland.gov), but it does not address actionable options after cancellation (e.g., provisional ballots) that are described on state and Montgomery County election sites."
0f7d242c-3fcf-40aa-955b-7d8a84030a7e,eligibility,3,60.0,nuance/specificity gap,"Got it! So, if I wanted to register after becoming a U.S. citizen, what's the process like?","Here’s the typical process after you become a U.S. citizen:

- Verify eligibility: you must be a U.S. citizen and Maryland resident; you can register to vote at age 16, and you can vote starting at age 18 [VRA French](https://elections.maryland.gov/voter_registration/documents/VRA-French.pdf), [Spanish Internet VRA](https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf).

- Complete the Voter Registration Application in black ink. You’ll need: your name, Maryland residential and mailing addresses, date of birth, and either a Maryland driver’s license/ID or the last 4 digits of your Social Security number. Sign with a pen (no electronic signatures) [Spanish Internet VRA](https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf).

- Indicate your residential vs mailing address if different (e.g., home vs campus) [Students Enrolled in a Maryland Institution of Higher Education](https://elections.maryland.gov/voter_registration/students.html).

- Submit the form to your County Board of Elections or the State Board of Elections (mail it as directed on the form) [Spanish Internet VRA](https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf).

- If you want to vote in primaries, select a party affiliation on the form (Democratic, Republican, or unaffiliated) [Spanish Internet VRA](https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf).

- If you were registered somewhere else, cancel that registration in that state when you register in Maryland [Students Enrolled in a Maryland Institution of Higher Education](https://elections.maryland.gov/voter_registration/students.html).

- After submission, you’ll be registered and can vote once you’re 18; keep your address information up to date with the local elections office [Students Enrolled in a Maryland Institution of Higher Education](https://elections.maryland.gov/voter_registration/students.html).","The answer correctly states that you can register at 16 and vote at 18 by the next general election, and that you may choose a party for primaries; however, it inaccurately suggests you should cancel a prior state's registration when registering in Maryland (MD/MC sources indicate cancellation pertains to Maryland registration when moving to another state, not canceling the other state's registration), and it asserts a 'black ink' requirement for the paper registration form which is not specified in the official Maryland guidance."
18df7069-abec-44f9-affc-3c060385ada6,results_integrity,2,0.0,other,Are there any manual checks or audits done after the counting to ensure everything is accurate?,"Based on the sources you provided, there isn’t an explicit description of a separate post-count manual audit. What the materials do describe:

- Ballots are verifiable paper ballots counted by scanners (in-person ballots print a paper ballot and are scanned) [Source 3; “Election Security”, and the DS200 reference from the certification context in my earlier answer].
- Mail-in ballots must be received and verified before counting; final results are certified after all mail-in and provisional ballots are counted, which can take about two weeks after Election Day [Source 3; “Accessible Voting” and the Montgomery County Voter Guide referenced in Source 2].
- Provisional ballots are counted after eligibility is confirmed [Election Security](https://elections.maryland.gov/about/election_security.html).

If you want, I can look up Maryland’s official post-election audit or risk-limiting-audit procedures and cite them.","The assistant claimed there isn’t an explicit description of a separate post-count manual audit, but Maryland and Montgomery County sources describe both post-election automated tabulation audits and manual post-election ballot tabulation audits (e.g., 2024 Post-Election Manual Ballot Tabulation Audit Report and 2026 risk-limiting audits)."
18df7069-abec-44f9-affc-3c060385ada6,results_integrity,3,0.0,other,What happens if there are discrepancies found during any audits or checks after the counting process?,"The sources you provided don’t specify how discrepancies from post-count checks are handled.

What they do say:
- Final results are certified after all mail-in and provisional ballots are counted [Spanish Internet VRA](https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf).
- Provisional ballots are counted after eligibility is confirmed [Spanish Internet VRA](https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf).

If you’d like, I can look up Maryland’s official post-election audit/recount procedures and cite them directly.","Maryland’s official sources clearly describe discrepancy handling in post-election audits (e.g., retabulation of unexplainable discrepancies via COMAR 33.08.05 and expansion of the manual audit if discrepancies exceed thresholds like 0.5%), contradicting the claim that the sources do not specify how discrepancies are handled."
2663c9fb-21f3-44eb-b7ac-e3e4e68454a7,results_integrity,1,60.0,date/location error,"Are there specific hotlines for reporting issues, or is it just the local and state boards?","There isn’t a dedicated hotline named in these materials. Reports should go to your local Board of Elections or the Maryland State Board of Elections. You can find local contacts at elections.maryland.gov. [Ensuring Verification and Citizenship Integrity](https://elections.maryland.gov/press_room/documents/2026/Ensuring_Verification_and_Citizenship_Integrity.pdf)

If you need to reach the State Board directly, they provide a toll-free number: 800-222-8683. [Letter to LWV from SBE 6.2.26 - Answer](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2302855799979)

For emergencies or urgent threats, call 911. [Ensuring Verification and Citizenship Integrity](https://elections.maryland.gov/press_room/documents/2026/Ensuring_Verification_and_Citizenship_Integrity.pdf)","The assistant's claim that there isn't a dedicated hotline is incorrect; Maryland's Rumor Control page provides a dedicated hotline for election misinformation at 410-269-2880, while the toll-free State Board of Elections number (800-222-8683) and local boards are also correct."
2678b56c-c462-48e2-9d7d-077b2c072290,eligibility,0,40.0,other,"Hey, I was wondering, if I have a felony record, am I still able to vote in Maryland?","In Maryland, a felony conviction does not automatically take away your right to vote. Here’s the general rule:

- If you are currently incarcerated for a felony, you cannot vote.
- If you are on probation or parole, you may vote.
- If you have completed your sentence (including probation/parole), your voting rights are restored automatically, and you can vote.

For official guidance, check the Maryland State Board of Elections or the Maryland Voting Pocket Guide as a resource [Maryland Voting Pocket Guide En](https://elections.maryland.gov/voting/documents/Maryland_Voting_Pocket_Guide-En.pdf). If you’d like, I can help you find the exact contact info for your local board of elections.","The assistant claimed that people on probation or parole may vote; Maryland law requires completion of the court-ordered sentence of imprisonment, including any term of parole or probation, before being eligible to register to vote, so probation/parole status does not confer voting rights."
2678b56c-c462-48e2-9d7d-077b2c072290,eligibility,3,60.0,date/location error,Is there a specific process I need to follow to restore my voting rights once I complete my sentence?,You can update your voter registration information online here: https://voterservices.elections.maryland.gov/OnlineVoterUpdate/InstructionsStep1,"The assistant correctly notes that there is an online voter registration update option, but it omits the key restoration rule: in Maryland, felons may register to vote after completing the court-ordered sentence and must re-register to vote (per elections.maryland.gov and Montgomery County Board of Elections pages)."
2c91a425-f8ee-4f67-a068-174e0920a1e7,procedural,2,60.0,date/location error,"I appreciate the link, but do you know if there are any specific events scheduled for candidate forums or debates?","I don’t see any candidate forum or debate schedules in the documents you shared.

To find scheduled events, check:
- Maryland State Board of Elections events calendar
- Your county board of elections (e.g., Washington County) local pages
- Local media and university event calendars

If you tell me the jurisdiction and election year, I can help look for specific forums or debates.","The assistant asserted there were no candidate forum or debate schedules in the documents you shared, but Montgomery County's April–May 2026 Outreach Calendar lists a Montgomery County Executive Candidate Forum on April 19, 2026, making that claim incorrect; the rest of the guidance is accurate."
2e05090b-4afe-4015-9fb9-f161eb15a91e,procedural,2,60.0,date/location error,"If I recently moved, do I need to update my voter registration to reflect my new address?",You can update your voter registration information online here: https://voterservices.elections.maryland.gov/OnlineVoterUpdate/InstructionsStep1,"The assistant's claim uses an online update URL that does not exist; the Maryland page redirects to /OnlineVoterRegistration/InstructionsStep1 and confirms you can update your address online via OLVR, so the general idea is correct but the provided URL is incorrect."
3346cfe9-3051-47b8-9626-de05b0342786,edge_cases,0,60.0,date/location error,"Hey, I recently moved, and I just realized my voter registration address is outdated. What should I do to fix that?",You can update your voter registration information online here: https://voterservices.elections.maryland.gov/OnlineVoterUpdate/InstructionsStep1,"The answer correctly states that online voter registration updates are possible, but the provided URL is incorrect; the correct Maryland OLVR update page is https://voterservices.elections.maryland.gov/OnlineVoterRegistration/InstructionsStep1, as shown on elections.maryland.gov."
3346cfe9-3051-47b8-9626-de05b0342786,edge_cases,1,60.0,date/location error,How do I update my voter registration with my new address?,You can update your voter registration information online here: https://voterservices.elections.maryland.gov/OnlineVoterUpdate/InstructionsStep1,"The claim that voter registration can be updated online is correct, but the URL given uses OnlineVoterUpdate, which does not exist; the official page redirects to OnlineVoterRegistration/InstructionsStep1 for updating information."
340661d6-8652-4991-874b-a19fa4b0d855,results_integrity,1,60.0,date/location error,What steps do I need to take to track my ballot once I submit it?,"Here are typical steps to track a ballot after you’ve submitted it:

- Visit your county’s ballot-tracking page (or Maryland’s state ballot-status portal) and look up your ballot.
- Enter the required information (usually your name, date of birth, and sometimes a ballot ID or last four of your ID).
- Check the status updates (e.g., Received, Counted, Rejected, Pending).
- If available, sign up for email or text notifications for updates.
- If you don’t see any status or have questions, contact your county Board of Elections.

Tell me your county and I can give you the exact steps and links.","The response correctly references Maryland's Track My Ballot and the VoterLookup/MDVOTERS system (and notification options) but falsely implies you may need a ballot ID or the last four of your ID to track a ballot; Maryland's VoterLookup requires name, date of birth, and address details, and not a ballot ID; also the specific status categories (Received, Counted, Rejected, Pending) are not all explicitly listed in official sources."
340661d6-8652-4991-874b-a19fa4b0d855,results_integrity,2,60.0,date/location error,"Is there a website or app specifically for tracking my ballot, or do I need to go through my county's site?","Montgomery County has a text-based tracking option:

- Text CHECK to 77788 to see the status of your mail-in or provisional ballot. [MoCo Voter Guide for the 2026 Primary Election 02062026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632)
- Text BOX <ZIP> to 77788 to locate ballot drop boxes. [MoCo Voter Guide for the 2026 Primary Election 02062026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632)
- You can also text VBM to 77788 to apply for a mail-in ballot. [MoCo Voter Guide for the 2026 Primary Election 02062026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632)

There isn’t a statewide ballot-tracking app mentioned in these materials; for other counties, use your county’s Board of Elections website or contact them for tracking options. If you tell me your county, I can give the exact steps.","The three Montgomery County SMS options (CHECK, BOX ZIP, VBM) are correct per MCBOE sources, but the claim that there is no statewide ballot-tracking app is incorrect; Maryland's state site offers Track My Ballot."
3a126f03-4c54-4059-b78d-38c332fb84ee,mail_in,1,60.0,date/location error,Do I need to cancel my mail-in ballot request if I'm planning to vote in person?,"No formal cancellation is required. If you decide to vote in person after requesting a mail‑in ballot, you’ll typically be given a provisional ballot to prevent double voting. Provisional ballots are counted after election officials verify you didn’t vote by mail. [Mail-in Voting](https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html)

You can vote in person at an early voting center or your assigned polling place, and in-person locations have accessible voting options. [Accessible Voting](https://elections.maryland.gov/voting/accessibility.html)[Accessible Voting](https://elections.maryland.gov/voting/accessibility.html)","The assertion that 'no formal cancellation is required' is incorrect; Montgomery County and the Maryland Board of Elections allow you to cancel a mail-in ballot (online up to 3 weeks before Election Day or by submitting the cancellation form), and if you do not cancel you will vote a provisional ballot in person, which is counted only after verifying you did not vote by mail, while the claim about in-person voting options and accessibility is correct."
45f9a9af-3460-4454-8387-ee566ff8c10e,results_integrity,1,60.0,date/location error,Who exactly oversees the election process in Maryland? Are there independent audits conducted to ensure everything runs smoothly?,"- Oversight: In Maryland, the Maryland State Board of Elections (SBE) is the official body that oversees elections. The Board provides governance and standards for how elections are run, and its meetings and bylaws guide how the process is administered. The day-to-day administration is carried out under Board oversight, with staff and officials at the state and local level. [Signed Board Bylaws](https://elections.maryland.gov/about/Signed Board Bylaws.pdf), [Signed Board Bylaws](https://elections.maryland.gov/about/Signed Board Bylaws.pdf)

- Independent audits: The provided sources do not mention independent audits of election results or processes. If you’d like, I can look for additional, up-to-date information on audit practices from Maryland’s election materials.","The assistant correctly states that the Maryland State Board of Elections oversees elections, but it incorrectly claims there are no independent audits; Maryland's site documents automated post-election tabulation audits and risk-limiting audits planned for 2026."
46cce52a-e18f-483d-84be-144522e3854e,procedural,1,60.0,other,Thanks for the link! But can you tell me what the actual polling hours are on election day?,You can find your polling place using the official Maryland Polling Place Search tool here: https://voterservices.elections.maryland.gov/PollingPlaceSearch,"The answer correctly directs to the official polling place search, but it fails to provide the actual election-day hours (7:00 am–8:00 pm on June 23, 2026) which are stated on elections.maryland.gov."
46cce52a-e18f-483d-84be-144522e3854e,procedural,3,20.0,date/location error,Is the polling schedule the same for early voting days?,"Yes. The early voting centers operated from 10:00 AM to 8:00 PM on the early voting days (opening at 10 AM, closing at 8 PM) in the referenced Maryland document [2016 Primary  Schaefer Center Wait Time Study FINAL](https://elections.maryland.gov/press_room/documents/2016 Primary_ Schaefer Center Wait Time Study_FINAL.pdf). For any changes (e.g., weather closures), check 777vote.org or the county BOE updates [Election Worker - Program Overview](https://mcg.montgomerycountymd.gov/Elections/ElectionJudge/Overview.html).","The claim of 10:00 AM–8:00 PM is incorrect; Maryland sources for 2026 specify early voting hours as 7:00 AM–8:00 PM from June 11–18, 2026 (and 7:00 AM–8:00 PM on Election Day June 23, 2026), and the cited 2016 document is outdated."
4c2ebbb3-12f1-43c9-bb81-2b0dd64b6044,edge_cases,0,40.0,other,"Hey, I was wondering if I can still vote if I'm in the hospital on election day?","Yes. If you’re in the hospital on Election Day, you can still vote by:

- Mail-in ballot (absentee): Request the ballot online through Maryland’s Online Voter Registration System (OLVR) or use the Federal Post Card Application if applicable. Your voted ballot must be printed and returned to your local election office by mail, by a ballot drop box, or in person (no electronic return). If you choose an emailed ballot, you can mark it online with an accessible tool and print the ballot to return. [Accessible Voting](https://elections.maryland.gov/voting/accessibility.html)

- Assistance: You can get help voting. You may have someone assist you (not a candidate or your employer/union officer, etc.), or you can have two election judges help you. The helper must sign a Certification of Person Assisting Voter. [Provisional Voting](https://elections.maryland.gov/voting/provisional_voting.html), [Accessible Voting](https://elections.maryland.gov/voting/accessibility.html)

- Accessibility options: If you need accessibility accommodations, there are options like audio ballots, headset and keypad for the ballot, high-contrast/large-print modes, and election judges available to help. [Accessible Voting](https://elections.maryland.gov/voting/accessibility.html)

If you’d like, I can help you find your local election office or walk you through requesting a mail-in ballot.","MD SBE pages confirm the core points (mail-in voting, accessibility options, and assistance) but the answer inaccurately suggests using FPCA for hospital-bound domestic voters and cites OLVR as the ballot-request path; FPCA is for overseas/military voters and mail-in ballots are requested via the Voter Services portal, with no electronic ballot return."
542ad34c-9160-4d41-b38a-8e7ee5403a2d,mail_in,2,60.0,date/location error,"Are there any penalties for spoiling a ballot, or is it just a matter of getting a replacement?","The materials you provided don’t mention any penalties for spoiling a ballot. They describe getting a replacement ballot (for mail-in) and voting in person if you prefer.

- Replacement: You’d typically request a new mail-in ballot (via the official process) and return it by mail, at a ballot drop box, or in person. Email or fax returns aren’t counted. [Election Security](https://elections.maryland.gov/about/election_security.html)

- In person: If you’re at a polling place, you can vote a regular ballot after spoiling the mailed one.

If you want the exact policy for your county and any deadlines, I can look up your county’s Board of Elections contact.","The response correctly notes replacement mail-in ballots and typical return methods, but it wrongly claims you can vote a regular ballot in person after spoiling a mailed ballot; Maryland guidance indicates you would generally vote a provisional ballot if you appear in person after requesting a mail-in ballot."
542ad34c-9160-4d41-b38a-8e7ee5403a2d,mail_in,3,40.0,other,Can I still vote in person if I end up getting my replacement ballot but decide not to use it?,"Yes. You can vote in person if you decide not to use your replacement mail-in ballot.

- Go to your assigned polling place on Election Day (or to an early voting site) and cast a regular ballot. Election judges can assist as needed. [Accessible Voting](https://elections.maryland.gov/voting/accessibility.html)

If you want the exact steps for your county, I can look up your Board of Elections contact. [Accessible Voting](https://elections.maryland.gov/voting/accessibility.html)","The assistant claimed you can vote in person with a regular ballot after receiving a replacement mail-in ballot, but Maryland state guidance states that once a mail-in ballot is issued you must vote a provisional ballot if you vote in person (you cannot cast a regular in-person ballot in that scenario)."
5a6d37d0-2f95-46cd-b2ea-bb509969a072,procedural,0,0.0,date/location error,Hey! Do you know what date the primary election is scheduled for in 2026?,"Not in these sources. The reports mention deadlines and pre-primary filings but do not state the exact date of the 2026 Maryland primary.

For context:
- Primary funding deadline: Feb 24, 2026 [State Administrator's Report- March 26, 2026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2175606069496).
- Candidate filing deadline: Feb 24, 2026, 9:00 PM [State Administrator's Report- March 26, 2026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2175606069496).
- Withdrawal deadline for financial disclosures: Feb 26, 2026 [State Administrator's Report- February 19, 2026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2137782796757).
- Pre-Primary 1 Report due: May 19, 2026 [State Administrator's Report- May 28, 2026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2246330483012).
- Pre-Primary 2 Report due: June 12, 2026 [State Administrator's Report- May 28, 2026](https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2246330483012).

If you’d like, I can look up the official primary date.","Verified Maryland sources show the 2026 Gubernatorial Primary was scheduled for June 23, 2026 (with early voting June 11–18), contradicting the assistant's claim that the date wasn't stated in the sources."
5a6d37d0-2f95-46cd-b2ea-bb509969a072,procedural,2,60.0,date/location error,Will the early voting schedule change if there are any special events or circumstances in 2026?,"Yes. The Maryland State Board of Elections publishes the early voting schedule, and it can be adjusted for special events, weather, or other emergencies, with updates issued as needed. For example, the 2016 primary early voting ran April 14–21 [2016 Primary  Schaefer Center Wait Time Study FINAL](https://elections.maryland.gov/press_room/documents/2016 Primary_ Schaefer Center Wait Time Study_FINAL.pdf). The exact 2026 early voting dates aren’t in these sources yet, but I can look them up if you’d like.","Correct that the State Board of Elections publishes the early voting schedule and that emergencies can alter it (as shown by the Hurricane Sandy executive order), but incorrect that the 2026 dates aren’t in the sources; Maryland’s official pages list early voting June 11–18, 2026."
