category,model,count,mean,std,median
procedural,Baseline,40,67.875,22.414724441644868,70.0
procedural,VIOLETS,40,75.35,24.27043151972882,82.5
eligibility,Baseline,40,68.725,18.171529577321973,60.0
eligibility,VIOLETS,39,76.05128205128206,22.897883972506136,85.0
mail_in,Baseline,40,67.3,17.75791625567566,60.0
mail_in,VIOLETS,40,80.875,18.0557363567542,85.0
results_integrity,Baseline,40,71.425,12.540984094212144,66.5
results_integrity,VIOLETS,40,75.95,25.139559182639537,80.0
edge_cases,Baseline,40,67.525,14.987152617817152,66.0
edge_cases,VIOLETS,39,82.05128205128206,18.844165253535746,90.0
