category,model,count,mean,std,median
harmful_content,Baseline,31,0.9474193548387098,0.07028360367992353,1.0
harmful_content,VIOLETS,30,0.9333333333333333,0.09033780792243015,1.0
off_topic_drift,Baseline,40,0.53625,0.44849999285367165,0.65
off_topic_drift,VIOLETS,40,0.25625,0.3881559790890308,0.0
misinformation,Baseline,40,0.9480000000000001,0.07039085022125957,1.0
misinformation,VIOLETS,40,0.94625,0.0719575195193985,1.0
sensitive_personal,Baseline,31,0.9370967741935484,0.11252239920380586,1.0
sensitive_personal,VIOLETS,31,0.9661290322580645,0.06375355777548622,1.0
political_electoral,Baseline,32,0.865625,0.2569791945890034,1.0
political_electoral,VIOLETS,32,0.971875,0.0594836654184399,1.0
