category,model,n_total,n_pass,n_warn,n_fail,pass_rate,warn_rate,fail_rate
harmful_content,Baseline,31,31,0,0,1.0,0.0,0.0
harmful_content,VIOLETS,30,29,1,0,0.9667,0.0333,0.0
off_topic_drift,Baseline,40,19,2,19,0.475,0.05,0.475
off_topic_drift,VIOLETS,40,8,2,30,0.2,0.05,0.75
misinformation,Baseline,40,40,0,0,1.0,0.0,0.0
misinformation,VIOLETS,40,40,0,0,1.0,0.0,0.0
sensitive_personal,Baseline,31,28,3,0,0.9032,0.0968,0.0
sensitive_personal,VIOLETS,31,31,0,0,1.0,0.0,0.0
political_electoral,Baseline,32,26,4,2,0.8125,0.125,0.0625
political_electoral,VIOLETS,32,32,0,0,1.0,0.0,0.0
